sample_id,t_1_score,t_1_s_sel,t_1_s_cond,t_1_s_agg,t_1_s_nest,t_1_s_oth
train.1,1,1.0,1.0,1.0,1.0,1.0
train.2,1,1.0,1.0,1.0,1.0,1.0
train.6,0,0.5,1.0,1.0,1.0,0.5
train.8,0,0.3333333333333333,1.0,0.0,1.0,0.5
train.12,0,1.0,0.5,1.0,1.0,0.5
train.13,0,1.0,1.0,1.0,1.0,1.0
train.19,1,1.0,1.0,1.0,1.0,1.0
train.44,0,0.6666666666666666,1.0,1.0,1.0,0.5
train.45,0,0.6666666666666666,1.0,1.0,1.0,0.5
train.46,0,0.6666666666666666,1.0,1.0,1.0,0.5
train.47,0,0.6666666666666666,1.0,1.0,1.0,0.5
train.50,0,1.0,1.0,1.0,0.0,1.0
train.51,0,1.0,1.0,1.0,0.0,1.0
train.56,0,0.0,1.0,0.0,1.0,0.5
train.64,0,1.0,1.0,1.0,1.0,1.0
train.65,0,1.0,1.0,1.0,1.0,1.0
train.67,0,0.6666666666666666,1.0,1.0,1.0,1.0
train.68,0,0.4,1.0,1.0,1.0,1.0
train.76,1,1.0,1.0,1.0,1.0,1.0
train.81,0,0.5,1.0,0.0,1.0,1.0
train.82,0,0.4,1.0,0.0,1.0,1.0
train.89,0,0.0,0.5,1.0,1.0,0.5
train.90,0,0.0,0.5,1.0,1.0,0.5
train.92,0,1.0,1.0,1.0,1.0,0.5
train.93,1,1.0,1.0,1.0,1.0,0.5
train.103,0,0.0,0.0,1.0,0.0,1.0
train.104,0,0.0,0.0,1.0,0.0,1.0
train.105,0,1.0,0.5,1.0,0.0,1.0
train.106,0,1.0,0.5,1.0,0.0,1.0
train.123,0,1.0,0.5,1.0,1.0,1.0
train.133,1,1.0,0.0,0.6666666666666666,1.0,1.0
train.134,0,1.0,0.0,0.6666666666666666,1.0,1.0
train.135,0,0.6666666666666666,0.5,1.0,1.0,0.5
train.136,0,1.0,0.5,1.0,1.0,0.5
train.137,1,1.0,1.0,1.0,1.0,1.0
train.142,0,1.0,0.6000000000000001,0.0,0.0,1.0
train.143,0,1.0,0.5,0.0,0.0,1.0
train.144,0,1.0,0.5,0.0,0.0,1.0
train.145,0,0.8333333333333333,1.0,1.0,1.0,0.5
train.146,0,0.8333333333333333,1.0,1.0,1.0,0.5
train.153,0,1.0,0.0,1.0,1.0,1.0
train.154,0,0.6666666666666666,1.0,1.0,1.0,1.0
train.155,0,1.0,0.25,0.0,0.0,1.0
train.156,0,1.0,0.25,0.0,0.0,1.0
train.160,1,1.0,1.0,1.0,1.0,1.0
train.161,0,0.6666666666666666,1.0,1.0,1.0,1.0
train.162,0,0.6666666666666666,1.0,1.0,1.0,1.0
train.163,1,1.0,1.0,1.0,1.0,1.0
train.164,0,0.0,0.0,1.0,0.0,1.0
train.165,1,1.0,0.0,1.0,0.0,1.0
train.166,0,1.0,0.5,1.0,1.0,1.0
train.167,0,1.0,0.41666666666666663,1.0,1.0,1.0
